;"Clapton";"Eric";1945-03-30;"C'est par l'apprentissage par cœur d'un album de Chuck Berry qui lui permet finalement d'intégrer en mars 1963 son premier groupe : les Roosters.";"clapton.jpg";1;1;4
;"Metheny";"pat";1954-08-12;"Musicien spectre large, on a pu l'entendre dans des contextes très différent : du jazz moderne post-bop, free jazz.";"metheny.jpg";2;1;5
;"De Lucia";"Paco";1947-12-21;"Paco de Lucía représente l'influence de nombreux guitaristes et participe avec eux à l'expression d'un nouveau flamenco";"delucia.jpg";3;1;3
;"Williams";"John ";1941-04-24;"Actuellement l'un des plus grands guitaristes classiques au monde. Il a commencé son apprentissage de la musique avec son père.";"williams.jpg ";4;1;6
;"Clarke";"Stanley";1951-06-30;"Il apprend plusieurs instruments durant son enfance, notamment l'accordéon et le violon, puis se consacre à la contrebasse.";"clarke.jpg";2;3;5
;"Glover";"Roger";1945-11-30;"En 1969  il intègre Deep Purple. Il restera membre du groupe jusqu'en 1973.";"glover.jpg";1;3;1
